الجامعات,المدينة,التخصصات,الحقل,الحد الادنى ,الحد التنافسي لسنة 2020,الحد التنافسي لسنة 2021,الحد التنافسي لسنة 2022,الحد التنافسي لسنة 2023,الحد التنافسي لسنة 2024,الحد التنافسي المتوقع,عدد ساعات التخصص,سعر الساعة للتنافسي,سعر الساعة الموازي,عدد سنوات الدراسة,التكلفة الكليه(تنافس),التكلفة الكليه(موازي),تدريب ميداني,نسبة العملي,تقييم صعوبة التخصص,حالة سوق العمل,وصف للتخصص,نوع الجامعة
الجامعة الأردنية,عمان,الطب,صحي,90,99.4,97.5,98.25,98.55,98.55,98.45,257.00,45.00,175.00,6,11565.00,44975.00,1,3,4,2,يدرس جسم الأنسان وتشخيصه وعلاجة جراحيا و دوائياً.,1
الجامعة الأردنية,عمان,طب الأسنان,صحي,90,98.7,95.65,97.15,97.6,97.8,97.38,198.00,40.00,175.00,5,7920.00,34650.00,1,3,4,1,صحة الفم والأسنان.,1
الجامعة الأردنية,عمان,الصيدلة,صحي,80,97.8,92.95,94.9,96.4,95,95.41,165.00,29.00,90.00,5,4785.00,14850.00,1,3,3,1,صناعة أدوية و طرق التحضير و فهم التأثيرات للأدوية.,1
الجامعة الأردنية,عمان,التمريض,صحي,70,96.7,90.05,94,95.4,92,93.63,135.00,15.00,65.00,4,2025.00,8775.00,1,3,3,1,يهتم برعاية المرضى ومتابعة حالتهم وتنفيذ خطط العلاج والتوعية الصحية بالتعاون مع الفريق الطبي.,1
الجامعة الأردنية,عمان,علوم المختبرات الطبية,صحي,80,96.65,90,94.35,95.35,91,93.47,132.00,45.00,175.00,4,5940.00,23100.00,1,4,3,1,إجراء التحاليل الطبية على عينات المريض للكشف عن امراض وتشخيصها.,1
الجامعة الأردنية,عمان,العلاج الطبيعي,صحي,70,96.7,90.35,93,94.45,93.7,93.64,132.00,34.00,65.00,4,4488.00,8580.00,1,3,2,1,يعالج الإصابات وضعف الحركة بإستخدام تمارين وأجهزة متخصصة.,1
الجامعة الأردنية,عمان,العلاج الوظيفي,صحي,70,95.6,87.2,91,93.4,90.6,91.56,132.00,34.00,65.00,4,4488.00,8580.00,1,3,2,1,تأهيل المرضى الأطفال وكبار السن لمساعدتهم على أستعادة مهارات الحياة.,1
الجامعة الأردنية,عمان,دكتور الصيدلة,صحي,80,98,93.4,95.7,96.6,96.6,96.06,219.00,50.00,105.00,6,10950.00,22995.00,1,4,4,1,التعامل المباشر مع المريض وفي المشفى ومتابعة العلاجات.,1
الجامعة الأردنية,عمان,هندسة العمارة,هندسي,80,97.7,90.95,93.6,95.85,94,94.42,171.00,29.00,95.00,5,4959.00,16245.00,1,3,3,0,يجمع بين الفن والهندسة لتصميم المباني والفراغات بما يحقق الجمال والوظيفة والأمان.,1
الجامعة الأردنية,عمان,هالهندسة المدنية,هندسي,80,97,87.3,91.45,94.2,88.2,91.63,160.00,29.00,90.00,4,4640.00,14400.00,1,2,3,1,تصميم وتنفيذ البنية التحتية مثل المباني والطرق والجسور وشبكات المياه.,1
الجامعة الأردنية,عمان,هندسة الكهرباء,هندسي,80,96.8,88.4,92.9,95.25,95.3,93.73,160.00,29.00,90.00,4,4640.00,14400.00,1,2,4,1,دراسة وتصميم أنظمة الطاقة الكهربائية والإلكترونيات والتحكم.,1
