طابع زمني,   ما هو معدلك التوجيهي ؟,   ما هو تخصصك الجامعي الحالي؟  (عربي فقط),"   ما مدى اهتمامك بالتكنولوجيا (عندما اخترت تخصصك)  ؟
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بالمجال الصحي والطبي (عندما اخترت تخصصك)
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بمجال الأعمال والإدارة (عندما اخترت تخصصك) ؟
(1= ضعيف جدا ) / (5 = عالي جدا)","  ما مدى اهتمامك بالمجالات الفنية والإبداعية  (عندما اخترت تخصصك) ؟   
(1= ضعيف جدا) / (5 = عالي جدا)","   أي وصف يعبّر أكثر عن أسلوب تفكيرك (عندما اخترت تخصصك)
",كيف بتشوف شخصيتك كانت  (عندما اخترت تخصصك) ؟,  أي نوع دراسة تفضّل؟ ,  ما أسلوب العمل الذي تفضّله؟  ,"   ما مدى رضاك عن تخصصك الجامعي الحالي؟  راضٍ جدًا / راضٍ / محايد /غير راضٍ
(1=راض جدا) / (4 = غير راض) ",هل لو كان عندك نظام ذكي يرشدك قبل الجامعة، هل كان ممكن يغيّر اختيارك للتخصص؟ 
11:42:46 م 2026/01/02,2,تكنولوجيا معلومات الاعمال,3,4,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,نعم
2:46:34 م 2026/01/03,3,علم بيانات وذكاء اصطناعي ,3,2,4,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
12:28:31 ص 2026/01/03,59,برمجة تطبيقية,5,1,4,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,لا
2:34:53 م 2026/01/03,60,تسويق الكتروني ,4,2,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
9:18:03 م 2026/01/03,61,نظم المعلومات المحاسبية ,4,3,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
6:19:17 م 2026/01/03,62,تجارة الكترونيه,4,1,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
4:03:29 م 2026/01/03,63,تربية خاصة,3,3,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,2,نعم
4:34:09 م 2026/01/03,63,الاداره السياحيه ,3,2,3,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,نعم
7:47:30 م 2026/01/03,64,Ai,3,1,3,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
6:59:14 م 2025/12/31,65,علم بيانات وذكاء اصطناعي ,3,5,5,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
11:10:25 م 2026/01/02,65,إنجليزي تطبيقي ,2,2,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
1:21:54 م 2026/01/03,65,علوم حياتية ,3,5,3,4,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
1:59:27 م 2026/01/03,65,علوم حاسوب,5,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
3:01:47 م 2026/01/03,65,نظم معلومات حاسوبية,5,5,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
9:08:18 م 2026/01/03,65,صيدله ,3,5,2,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
